"nome_fantasia";"razao_social";"municipio";"id_cnes";"tipo"
UBSF BELO HORIZONTE EDITH RODRIGUES DE SOUZA;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24678;CENTRO DE SAUDE/UNIDADE BASICA
UBSF SIDERLANDIA JOSE DOMINGOS MACEDO;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24716;CENTRO DE SAUDE/UNIDADE BASICA
UBSF BELMONTE VEREADOR ADAO PEDRO ALVES;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24724;CENTRO DE SAUDE/UNIDADE BASICA
UBS MONTE CASTELO MARIA DO CARMO OLIVEIRA RIOS TIA CARMEM;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24821;CENTRO DE SAUDE/UNIDADE BASICA
UBSF SAO GERALDO MARIA NILCE FAGUNDES COSTA;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24848;CENTRO DE SAUDE/UNIDADE BASICA
UBSF SANTA RITA DO ZARUR MARCILIA CANDIDA DE OLIVEIRA;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24953;CENTRO DE SAUDE/UNIDADE BASICA
HOSPITAL MUNICIPAL SAO JOAO BATISTA;SERVICO AUTONOMO HOSPITALAR;VOLTA REDONDA;25135;HOSPITAL GERAL
HINJA;HOSPITAL JARDIM AMALIA LTDA;VOLTA REDONDA;25186;HOSPITAL GERAL
UBSF ROMA I;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;29149;CENTRO DE SAUDE/UNIDADE BASICA
UBSF ROMA II;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;29157;CENTRO DE SAUDE/UNIDADE BASICA
INFANT CARE;INFANT CARE SERVICOS MEDICOS LTDA;MACAE;79693;CLINICA/CENTRO DE ESPECIALIDADE
BEEP SERVICOS BARRA DA TIJUCA;BEEP SERVICOS LTDA;RIO DE JANEIRO;114472;CLINICA/CENTRO DE ESPECIALIDADE
SMS SUPER CENTRO CARIOCA DE VACINACAO AP 21;SMS RIO CENTRO DE REFERENCIA IMUNOBIOLOGICOS ESPECIAIS AP 21;RIO DE JANEIRO;134570;CENTRO DE IMUNIZACAO
DROGA RAIA 432 RJ IPANEMA C;RAIA DROGASIL S A;RIO DE JANEIRO;154075;FARMACIA
MATERNIDADE SANTA CRUZ DA SERRA;MUNICIPIO DE DUQUE DE CAXIAS;DUQUE DE CAXIAS;155055;HOSPITAL ESPECIALIZADO
SMS CF ENGENHEIRO SANITARISTA PAULO D AGUILA AP 33;SMS RIO CF ENGENHEIRO SANITARISTA PAULO D AGUILA AP 33;RIO DE JANEIRO;189200;CENTRO DE SAUDE/UNIDADE BASICA
SMS CF CRISTIANI VIEIRA PINHO AP 51;SMS RIO CF CRISTIANI VIEIRA PINHO AP 51;RIO DE JANEIRO;193089;CENTRO DE SAUDE/UNIDADE BASICA
SMS CF ADV MARIO PIRES DA SILVA AP 33;SMS RIO CF ADV MARIO PIRES DA SILVA AP 33;RIO DE JANEIRO;199338;CENTRO DE SAUDE/UNIDADE BASICA
SMS CF LOURIVAL FRANCISCO DE OLIVEIRA AP 40;SMS RIO CF LOURIVAL FRANCISCO DE OLIVEIRA AP 40;RIO DE JANEIRO;214949;CENTRO DE SAUDE/UNIDADE BASICA
ESF AREAL;SECRETARIA MUNICIPAL DE SAUDE;ARARUAMA;220752;POSTO DE SAUDE
ESF NORIVAL CARVALHO;SECRETARIA MUNICIPAL DE SAUDE;ARARUAMA;220760;POSTO DE SAUDE
HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4;HOSPITAL MUNICIPAL DRA JAQUELINE PRATES;ARARUAMA;221015;HOSPITAL GERAL
POLICLINICA GONCALENSE REF DOENCAS CRONICAS E TRANSMISSIVEIS;SECRETARIA MUNICIPAL DE SAUDE DE SAO GONCALO;SAO GONCALO;250309;POLICLINICA
CESOM;CESOM CLINICA MEDICA E ODONTOLOGICA LTDA;NOVA FRIBURGO;260444;CONSULTORIO ISOLADO
CLINICA DA FAMILIA VALDISIA CATARINA RIBEIRO MELO;MUNICIPIO DE QUEIMADOS;QUEIMADOS;263508;CENTRO DE SAUDE/UNIDADE BASICA
ESF JAIR SIMOES;MUNICIPIO DE PETROPOLIS;PETROPOLIS;265217;CENTRO DE SAUDE/UNIDADE BASICA
SMS CF PADRE MARCOS VINICIO MIRANDA VIEIRA AP 40;SMS RIO CF PADRE MARCOS VINICIO MIRANDA VIEIRA AP 40;RIO DE JANEIRO;265233;CENTRO DE SAUDE/UNIDADE BASICA
ESF JACONE;SECRETARIA MUNICIPAL DE SAUDE DE SAQUAREMA;SAQUAREMA;271136;CENTRO DE SAUDE/UNIDADE BASICA
ESF BACAXA;SECRETARIA MUNICIPAL DE SAUDE DE SAQUAREMA;SAQUAREMA;271152;CENTRO DE SAUDE/UNIDADE BASICA
USB PARQUE JOSE BONIFACIO ALMIR GONCALVES SILVA;MUNICIPIO DE SAO JOAO DE MERITI;SAO JOAO DE MERITI;279188;CENTRO DE SAUDE/UNIDADE BASICA
PSF BOA PERNA;SECRETARIA MUNICIPAL DE SAUDE;ARARUAMA;283029;POSTO DE SAUDE
RAIA DROGASIL S A;RAIA DROGASIL S A;TRES RIOS;412821;FARMACIA
VACCINI CLINICA DE VACINACAO;NIVAC SERVICOS DE IMUNIZACAO LTDA;NITEROI;415294;CENTRO DE IMUNIZACAO
UNIDADE BASICA DE SAUDE ESTACAO;SECRETARIA MUNICIPAL DE SAUDE DE SAO PEDRO DA ALDEIA RJ;SAO PEDRO DA ALDEIA;421138;CENTRO DE SAUDE/UNIDADE BASICA
CENTRO INTEGRADO MATERNO INFANTIL ATENCAO BASICA;SECRETARIA MUNICIPAL DE SAUDE;ARARUAMA;421804;POSTO DE SAUDE
LABI EXAMES UNIDADE COPACABANA;LABI EXAMES S A;RIO DE JANEIRO;446696;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
HOSPITAL DE FORCA AEREA DO GALEAO;HOSPITAL DE FORCA AEREA DO GALEAO;RIO DE JANEIRO;471755;HOSPITAL GERAL
DASA LSF BARRA PENINSULA;DIAGNOSTICOS DA AMERICA S A;RIO DE JANEIRO;515965;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
DASA LSF RECREIO II;DIAGNOSTICOS DA AMERICA S A;RIO DE JANEIRO;516007;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
DASA LSF TIJUCA URUGUAI;DIAGNOSTICOS DA AMERICA S A;RIO DE JANEIRO;516023;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
DASA LSF RECREIO I;DIAGNOSTICOS DA AMERICA S A;RIO DE JANEIRO;517119;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
CENTRAL MUNICIPAL DE REDE DE FRIOS;MUNICIPIO DE QUEIMADOS;QUEIMADOS;535621;CENTRO DE IMUNIZACAO
UNIDADE DE SAUDE DA FAMILIA JACY ALVES DOS SANTOS JUNIOR;MUNICIPIO DE SAO JOAO DE MERITI;SAO JOAO DE MERITI;554731;CENTRO DE SAUDE/UNIDADE BASICA
DASA SF BOTAFOGO;DIAGNOSTICOS DA AMERICA S A;RIO DE JANEIRO;605999;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
UNIDADE BASICA DE SAUDE DEODORINA LEITE DE AZEVEDO GERIBA;MUNICIPIO DE ARMACAO DE BUZIOS;ARMACAO DOS BUZIOS;608785;CENTRO DE SAUDE/UNIDADE BASICA
VACCINI;VACCINI CLINICA DE VACINACAO LTDA;RESENDE;746371;CENTRO DE IMUNIZACAO
DROGARIA PACHECO BARRA DA TIJUCA 5;DROGARIAS PACHECO S A;RIO DE JANEIRO;753602;FARMACIA
DROGARIAS PACHECO TAQUARA 2;DROGARIAS PACHECO S A;RIO DE JANEIRO;869805;FARMACIA
BEEP SAUDE SAO CRISTOVAO;BEEP SERVICOS MEDICOS LTDA;RIO DE JANEIRO;871761;CLINICA/CENTRO DE ESPECIALIDADE
UBS ARPOADOR CRUZEIRO I;MUNICIPIO DE ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;875074;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA DO BAIRRO DA PONTE PRETA;MUNICIPIO DE MAGE;MAGE;880124;CENTRO DE SAUDE/UNIDADE BASICA
LACI MOLECULAR;LACI LABORATORIO DE ANALISES CLINICAS ITAPERUNA LTDA;ITAPERUNA;903744;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
USF DE RAIZ DA SERRA;MUNICIPIO DE MAGE;MAGE;911003;CENTRO DE SAUDE/UNIDADE BASICA
REDE DE FRIOS DO MUNICIPIO DE SAQUAREMA;SECRETARIA MUNICIPAL DE SAUDE DE SAQUAREMA;SAQUAREMA;962996;CENTRO DE IMUNIZACAO
CENTRO DE IMUNIZACAO REDE FRIO CAMBUCI;MUNICIPIO DE CAMBUCI1;CAMBUCI;965219;CENTRAL DE ABASTECIMENTO
UNIDADE BASICA DE SAUDE NAIR BORGES FERNANDES;PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS;DUQUE DE CAXIAS;978248;CENTRO DE SAUDE/UNIDADE BASICA
CENTRAL MUNICIPAL DE REDE DE FRIO;MUNICIPIO DE SEROPEDICA;SEROPEDICA;981109;CENTRAL DE ABASTECIMENTO
CENTRAL DE ARMAZENAGEM E DISTRIBUICAO DE IMUNOBIOLOGICOS CEA;MUNICIPIO DE JAPERI;JAPERI;984485;CENTRAL DE ABASTECIMENTO
REDE FRIO DE VACINAS DE SAO JOAO DE MERITI;MUNICIPIO DE SAO JOAO DE MERITI;SAO JOAO DE MERITI;992453;CENTRAL DE ABASTECIMENTO
HOSPITAL MUNICIPAL CONDE MODESTO LEAL;MUNICIPIO DE MARICA;MARICA;2266733;HOSPITAL GERAL
UNIDADE DE SAUDE DA FAMILIA BARRA;MUNICIPIO DE MARICA;MARICA;2266768;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA JARDIM ATLANTICO;MUNICIPIO DE MARICA;MARICA;2266784;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA RECANTO;MUNICIPIO DE MARICA;MARICA;2266822;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA SAO JOSE II;MUNICIPIO DE MARICA;MARICA;2266857;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA BAMBUI;MUNICIPIO DE MARICA;MARICA;2266865;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA INOA II;MUNICIPIO DE MARICA;MARICA;2266873;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA CENTRAL;POSTO DE SAUDE ILDEFONSO GONCALVES FERREIRA;MARICA;2266881;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA INOA I;MUNICIPIO DE MARICA;MARICA;2266938;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA RETIRO;MUNICIPIO DE MARICA;MARICA;2266946;CENTRO DE SAUDE/UNIDADE BASICA
HOSPITAL FLAVIO LEAL;CASA DE CARIDADE DE PIRAI;PIRAI;2267187;HOSPITAL GERAL
HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS;SECRETARIA MUNICIPAL DE SAUDE DE QUISSAMA;QUISSAMA;2267209;HOSPITAL GERAL
HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC;MUNICIPIO DE APERIBE;APERIBE;2267454;HOSPITAL GERAL
CLINICA DA FAMILIA ANIZ TUFFI DAIBES;MUNICIPIO DE APERIBE;APERIBE;2267462;POLICLINICA
PSF SANTO ANTONIO SAO JOSE;PREFEITURA MUNICIPAL DE CANTAGALO;CANTAGALO;2267624;POSTO DE SAUDE
UNIDADE DE SAUDE DA FAMILIA HERMES BARCELLOS;SECRETARIA MUNICIPAL DE SAUDE DE ARRAIAL DO CABO;ARRAIAL DO CABO;2267721;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA JUAREZ FELIX CARDOSO;SECRETARIA MUNICIPAL DE SAUDE DE ARRAIAL DO CABO;ARRAIAL DO CABO;2267756;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA MONTE ALTO;SECRETARIA MUNICIPAL DE SAUDE DE ARRAIAL DO CABO;ARRAIAL DO CABO;2267764;CENTRO DE SAUDE/UNIDADE BASICA
HOSPITAL GERAL DE ARRAIAL DO CABO;SECRETARIA MUNICIPAL DE SAUDE DE ARRAIAL DO CABO;ARRAIAL DO CABO;2267802;HOSPITAL GERAL
PSF COLOMBIANO DE ALMEIDA SANTOS;MUNICIPIO DE SANTA MARIA MADALENA;SANTA MARIA MADALENA;2268450;POSTO DE SAUDE
UNIDADE CENTRAL DE SAUDE DR MANOEL VERBICARIO;MUNICIPIO DE SANTA MARIA MADALENA;SANTA MARIA MADALENA;2268507;POLICLINICA
HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2268922;HOSPITAL GERAL
UNIDADE BASICA DE SAUDE PREFEITO MILTON RODRIGUES DA ROCHA;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2268981;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA ANTONIO BRAVO PECCINI;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269015;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA MARIA FERREIRA DOS SANTOS;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269023;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA DIMAS MONTEIRO NOGUEIRA;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269082;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA VALTAIR FELICIO DA SILVA;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269104;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA AMERICO DAMASIO DE SALLES;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269155;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA OTACILIO JOSE RAFAEL;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269201;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE DE SAUDE DA FAMILIA SADDY RIBEIRO GOMES;PREFEITURA MUNICIPAL DE ITABORAI;ITABORAI;2269236;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS CLEMENTINO FRAGA AP 33;SMS RIO CMS CLEMENTINO FRAGA AP 33;RIO DE JANEIRO;2269295;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS HEITOR BELTRAO AP 22;SMS RIO CMS HEITOR BELTRAO AP 22;RIO DE JANEIRO;2269376;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS EDUARDO A VILHENA AP 32;SMS RIO CMS DR EDUARDO ARAUJO VILHENA LEITE AP 32;RIO DE JANEIRO;2269503;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS GARFIELD DE ALMEIDA AP 52;SMS RIO CMS DR GARFIELD DE ALMEIDA AP 52;RIO DE JANEIRO;2269511;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS EDGARD MAGALHAES GOMES AP 52;SMS RIO CMS PROFESSOR EDGARD MAGALHAES GOMES AP 52;RIO DE JANEIRO;2269538;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS DR OSWALDO VILELLA AP 52;SMS RIO CMS DR OSWALDO VILELLA AP 52;RIO DE JANEIRO;2269546;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS BELIZARIO PENNA AP 52;SMS RIO CMS BELIZARIO PENNA AP 52;RIO DE JANEIRO;2269554;UNIDADE MISTA
SMS CMS DR MARIO RODRIGUES CID AP 52;SMS RIO CMS DR MARIO RODRIGUES CID AP 52;RIO DE JANEIRO;2269562;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS SYLVIO FREDERICO BRAUNER AP 33;SMS RIO CMS SYLVIO FREDERICO BRAUNER AP 33;RIO DE JANEIRO;2269627;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS DOM HELDER CAMARA AP 21;SMS RIO CMS DOM HELDER CAMARA AP 21;RIO DE JANEIRO;2269651;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS CARMELA DUTRA AP 33;SMS RIO CMS CARMELA DUTRA AP 33;RIO DE JANEIRO;2269732;CENTRO DE SAUDE/UNIDADE BASICA
SESDEC RJ PAM COELHO NETO;SECRETARIA DE ESTADO DE SAUDE SES;RIO DE JANEIRO;2269740;POLICLINICA
SMS CMS FLAVIO DO COUTO VIEIRA AP 33;SMS RIO CMS DR FLAVIO DO COUTO VIEIRA AP 33;RIO DE JANEIRO;2269759;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS MILTON FONTES MAGARAO AP 32;SMS RIO CMS MILTON FONTES MAGARAO AP 32;RIO DE JANEIRO;2269805;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS ALEXANDER FLEMING AP 51;SMS RIO CMS ALEXANDER FLEMING AP 51;RIO DE JANEIRO;2269848;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS JOSE BREVES DOS SANTOS AP 31;SMS RIO CMS DOUTOR JOSE BREVES DOS SANTOS AP 31;RIO DE JANEIRO;2269902;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS CATTAPRETA AP 53;SMS RIO CMS DR CATTAPRETA AP 53;RIO DE JANEIRO;2269929;CENTRO DE SAUDE/UNIDADE BASICA
SMS MATERNIDADE ALEXANDER FLEMING AP 33;SMS RIO MATERNIDADE ALEXANDER FLEMING AP 33;RIO DE JANEIRO;2269945;HOSPITAL ESPECIALIZADO
SMS CMS SALLES NETTO AP 10;SMS RIO CMS SALLES NETTO AP 10;RIO DE JANEIRO;2269953;CENTRO DE SAUDE/UNIDADE BASICA
MS HSE HOSPITAL DOS SERVIDORES DO ESTADO;MINISTERIO DA SAUDE;RIO DE JANEIRO;2269988;HOSPITAL GERAL
SMS CMS CECILIA DONNANGELO AP 40;SMS RIO CMS CECILIA DONNANGELO AP 40;RIO DE JANEIRO;2270013;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS DR ALBERT SABIN AP 21;SMS RIO CMS DR ALBERT SABIN AP 21;RIO DE JANEIRO;2270072;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS ERNESTO ZEFERINO TIBAU JR AP 10;SMS RIO CMS ERNESTO ZEFERINO TIBAU JUNIOR AP 10;RIO DE JANEIRO;2270250;CENTRO DE SAUDE/UNIDADE BASICA
SMS HOSPITAL MUNICIPAL MIGUEL COUTO AP 21;SMS RIO HOSPITAL MUNICIPAL MIGUEL COUTO AP 21;RIO DE JANEIRO;2270269;HOSPITAL GERAL
SMS CMS ALVIMAR DE CARVALHO AP 52;SMS RIO CMS DR ALVIMAR DE CARVALHO AP 52;RIO DE JANEIRO;2270277;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS WOODROW PIMENTEL PANTOJA AP 52;SMS RIO CMS DR WOODROW PIMENTEL PANTOJA AP 52;RIO DE JANEIRO;2270285;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS RAUL BARROSO AP 52;SMS RIO CMS RAUL BARROSO AP 52;RIO DE JANEIRO;2270293;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS MAIA BITTENCOURT AP 52;SMS RIO CMS DR MAIA BITTENCOURT AP 52;RIO DE JANEIRO;2270315;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS ADAO PEREIRA NUNES AP 52;SMS RIO CMS DR ADAO PEREIRA NUNES AP 52;RIO DE JANEIRO;2270323;CENTRO DE SAUDE/UNIDADE BASICA
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52;SMS RIO POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52;RIO DE JANEIRO;2270331;POLICLINICA
SMS MATERNIDADE HERCULANO PINHEIRO AP 33;SMS RIO MATERNIDADE HERCULANO PINHEIRO AP 33;RIO DE JANEIRO;2270390;HOSPITAL ESPECIALIZADO
SESDEC RJ PAM CAVALCANTI;SECRETARIA DE ESTADO DE SAUDE SES;RIO DE JANEIRO;2270412;POLICLINICA
SMS CMS WALDYR FRANCO AP 51;SMS RIO CMS WALDYR FRANCO AP 51;RIO DE JANEIRO;2270420;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS HENRIQUE MONAT AP 51;SMS RIO CMS DR HENRIQUE MONAT AP 51;RIO DE JANEIRO;2270439;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS PADRE MIGUEL AP 51;SMS RIO CMS PADRE MIGUEL AP 51;RIO DE JANEIRO;2270455;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS ATHAYDE JOSE DA FONSECA AP 51;SMS RIO CMS ATHAYDE JOSE DA FONSECA AP 51;RIO DE JANEIRO;2270463;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS MASAO GOTO AP 51;SMS RIO CMS PROF MASAO GOTO AP 51;RIO DE JANEIRO;2270560;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS DR EITHEL PINHEIRO DE OLIVEIRA LIMA AP 51;SMS RIO CMS DR EITHEL PINHEIRO DE OLIVEIRA LIMA AP 51;RIO DE JANEIRO;2270579;CENTRO DE SAUDE/UNIDADE BASICA
SMS HOSPITAL MUNICIPAL LOURENCO JORGE AP 4 0;SMS RIO HOSPITAL MUNICIPAL LOURENCO JORGE AP 4 0;RIO DE JANEIRO;2270609;HOSPITAL GERAL
SMS CMS MARIO VITOR DE ASSIS PACHECO AP 52;SMS RIO CMS DR MARIO VITOR DE ASSIS PACHECO AP 52;RIO DE JANEIRO;2270633;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS PEDRO NAVA AP 52;SMS RIO CMS DR PEDRO NAVA AP 52;RIO DE JANEIRO;2270641;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE BASICA DE SAUDE DA RASA ANTONIO ELESBAO DOS SANTOS;PREFEITURA MUNICIPAL DE ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2271524;CENTRO DE SAUDE/UNIDADE BASICA
ESF VAL PARAISO;SECRETARIA MUNICIPAL DE SAUDE DE CARMO;CARMO;2271591;CENTRO DE SAUDE/UNIDADE BASICA
HOSPITAL MATERNIDADE DOUTOR MARIO DUTRA DE CASTRO;MUNICIPIO DE NOVA FRIBURGO;NOVA FRIBURGO;2271826;HOSPITAL ESPECIALIZADO
POSTO DE SAUDE DR WALDIR COSTA;MUNICIPIO DE NOVA FRIBURGO;NOVA FRIBURGO;2271834;POSTO DE SAUDE
POSTO DE SAUDE DR TUNNEY KASSUGA;MUNICIPIO DE NOVA FRIBURGO;NOVA FRIBURGO;2271850;CENTRO DE SAUDE/UNIDADE BASICA
POLICLINICA CENTRO DR SYLVIO HENRIQUE BRAUNE;MUNICIPIO DE NOVA FRIBURGO;NOVA FRIBURGO;2271877;CENTRO DE SAUDE/UNIDADE BASICA
PSF MATARUNA;SECRETARIA MUNICIPAL DE SAUDE DE ARARUAMA;ARARUAMA;2271966;POSTO DE SAUDE
PSF DE PONTES DOS LEITES;SECRETARIA MUNICIPAL DE SAUDE DE ARARUAMA;ARARUAMA;2271982;POSTO DE SAUDE
PSF FAZENDINHA;SECRETARIA MUNICIPAL DE SAUDE DE ARARUAMA;ARARUAMA;2271990;POSTO DE SAUDE
PSF DE PRAIA SECA;SECRETARIA MUNICIPAL DE SAUDE DE ARARUAMA;ARARUAMA;2272008;POSTO DE SAUDE
UNIDADE BASICA DE SAUDE MIRANDOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE QUATIS;QUATIS;2272393;CENTRO DE SAUDE/UNIDADE BASICA
CLINICA DA FAMILIA;SECRETARIA MUNICIPAL DE SAUDE DE QUATIS;QUATIS;2272407;CENTRO DE SAUDE/UNIDADE BASICA
USF BAIRRO CABRAL;SECRETARIA MUNICIPAL DE SAUDE DE RESENDE;RESENDE;2273136;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS AUGUSTO DO AMARAL PEIXOTO AP 33;SMS RIO CMS AUGUSTO DO AMARAL PEIXOTO AP 33;RIO DE JANEIRO;2273179;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS ARIADNE LOPES DE MENEZES AP 32;SMS RIO CMS ARIADNE LOPES DE MENEZES AP 32;RIO DE JANEIRO;2273225;CENTRO DE SAUDE/UNIDADE BASICA
HOSPITAL CENTRAL DA POLICIA MILITAR DO ESTADO DO RIO DE JANE;HOSPITAL CENTRAL DA POLICIA MILITAR DO ESTADO DO RIO DE JANE;RIO DE JANEIRO;2273438;HOSPITAL GERAL
SMS CMS FLORIPES GALDINO PEREIRA AP 53;SMS RIO CMS ENF FLORIPES GALDINO PEREIRA AP 53;RIO DE JANEIRO;2273543;CENTRO DE SAUDE/UNIDADE BASICA
SMS CMS CESARIO DE MELLO AP 53;SMS RIO CMS DR CESARIO DE MELLO AP53;RIO DE JANEIRO;2273578;CENTRO DE SAUDE/UNIDADE BASICA
